coname,filingdate,filename
ABRAXAS PETROLEUM CORP,20090224,0000867665-09-000017
ABRAXAS PETROLEUM CORP,20100318,0000867665-10-000011
ABRAXAS PETROLEUM CORP,20110316,0000867665-11-000008
ABRAXAS PETROLEUM CORP,20120315,0000867665-12-000010
ABRAXAS PETROLEUM CORP,20130318,0000867665-13-000012
ABRAXAS PETROLEUM CORP,20140317,0000867665-14-000017
"ADAMS RESOURCES & ENERGY, INC.",20090324,0000002178-09-000007
"ADAMS RESOURCES & ENERGY, INC.",20100323,0000002178-10-000008
"ADAMS RESOURCES & ENERGY, INC.",20110321,0000002178-11-000009
"ADAMS RESOURCES & ENERGY, INC.",20120323,0000002178-12-000010
"ADAMS RESOURCES & ENERGY, INC.",20130315,0000002178-13-000014
"ADAMS RESOURCES & ENERGY, INC.",20140313,0000002178-14-000010
Allis Chalmers Energy Inc.,20090309,0000950129-09-000822
Allis Chalmers Energy Inc.,20100309,0000950123-10-022492
Allis Chalmers Energy Inc.,20110315,0001193125-11-067128
"Alon USA Energy, Inc.",20090410,0000950134-09-007330
"Alon USA Energy, Inc.",20100316,0000950123-10-025231
"Alon USA Energy, Inc.",20110315,0000950123-11-025643
"Alon USA Energy, Inc.",20120313,0001325955-12-000010
"Alon USA Energy, Inc.",20130314,0001325955-13-000013
"Alon USA Energy, Inc.",20140314,0001325955-14-000013
AMERICAN OIL & GAS INC,20090316,0001362310-09-003848
AMERICAN OIL & GAS INC,20100315,0000950123-10-024780
ANADARKO PETROLEUM CORP,20090225,0001193125-09-036986
ANADARKO PETROLEUM CORP,20100223,0001193125-10-037173
ANADARKO PETROLEUM CORP,20110223,0001193125-11-043021
ANADARKO PETROLEUM CORP,20120221,0001193125-12-070408
ANADARKO PETROLEUM CORP,20130219,0001193125-13-065430
ANADARKO PETROLEUM CORP,20140228,0000773910-14-000014
"ante4, Inc",20100405,0001104659-10-018269
APACHE CORP,20090302,0000950129-09-000708
APACHE CORP,20100226,0000950123-10-018311
APACHE CORP,20110228,0000950123-11-019900
APACHE CORP,20120229,0001193125-12-086217
APACHE CORP,20130301,0001193125-13-085083
APACHE CORP,20140228,0001193125-14-077668
APCO ARGENTINA INC/NEW,20090316,0000311471-09-000003
APCO OIL & GAS INTERNATIONAL INC,20100312,0000311471-10-000006
APCO OIL & GAS INTERNATIONAL INC,20110310,0000311471-11-000003
APCO OIL & GAS INTERNATIONAL INC,20120229,0000311471-12-000008
APCO OIL & GAS INTERNATIONAL INC,20130308,0000311471-13-000004
APCO OIL & GAS INTERNATIONAL INC,20140307,0000311471-14-000003
Approach Resources Inc,20090313,0000950134-09-005311
Approach Resources Inc,20100312,0000950123-10-024067
Approach Resources Inc,20110311,0000950123-11-024699
Approach Resources Inc,20120312,0001193125-12-108873
Approach Resources Inc,20130228,0001193125-13-084104
Approach Resources Inc,20140225,0001193125-14-067265
ARABIAN AMERICAN DEVELOPMENT CO,20090316,0000007039-09-000002
ARABIAN AMERICAN DEVELOPMENT CO,20100315,0000007039-10-000008
ARABIAN AMERICAN DEVELOPMENT CO,20110318,0000007039-11-000009
ARABIAN AMERICAN DEVELOPMENT CO,20120309,0000007039-12-000003
ARABIAN AMERICAN DEVELOPMENT CO,20130318,0000007039-13-000007
ARABIAN AMERICAN DEVELOPMENT CO,20140314,0000007039-14-000002
ARENA RESOURCES INC,20090302,0001026608-09-000024
ARENA RESOURCES INC,20100301,0001026608-10-000020
ATP OIL & GAS CORP,20090313,0001193125-09-052832
ATP OIL & GAS CORP,20100316,0001193125-10-058628
ATP OIL & GAS CORP,20110316,0001193125-11-068655
ATP OIL & GAS CORP,20120315,0001193125-12-117694
ATWOOD OCEANICS INC,20091125,0000008411-09-000088
ATWOOD OCEANICS INC,20101123,0001140361-10-047001
ATWOOD OCEANICS INC,20111122,0001193125-11-320042
ATWOOD OCEANICS INC,20121119,0000008411-12-000066
ATWOOD OCEANICS INC,20131114,0000008411-13-000127
BAKER HUGHES INC,20090227,0000950129-09-000672
BAKER HUGHES INC,20100226,0000950123-10-017258
BAKER HUGHES INC,20110225,0000950123-11-018883
BAKER HUGHES INC,20120224,0001193125-12-078521
BAKER HUGHES INC,20130213,0000808362-13-000017
BAKER HUGHES INC,20140212,0000808362-14-000007
BASIC ENERGY SERVICES INC,20090309,0000950134-09-004729
BASIC ENERGY SERVICES INC,20100301,0000950123-10-018490
BASIC ENERGY SERVICES INC,20110225,0000950123-11-018755
BASIC ENERGY SERVICES INC,20120224,0001193125-12-077986
BASIC ENERGY SERVICES INC,20130227,0001193125-13-080070
BASIC ENERGY SERVICES INC,20140224,0001109189-14-000029
BERRY PETROLEUM CO,20090225,0000778438-09-000015
BERRY PETROLEUM CO,20100225,0000778438-10-000002
BERRY PETROLEUM CO,20110301,0001047469-11-001586
BERRY PETROLEUM CO,20120228,0000778438-12-000013
BERRY PETROLEUM CO,20130228,0000778438-13-000006
BERRY PETROLEUM CO,20140331,0000778438-14-000009
BILL BARRETT CORP,20090224,0001047469-09-001731
BILL BARRETT CORP,20100223,0001193125-10-037005
BILL BARRETT CORP,20110223,0001193125-11-043180
BILL BARRETT CORP,20120223,0001193125-12-074972
BILL BARRETT CORP,20130222,0001193125-13-070731
BILL BARRETT CORP,20140221,0001172139-14-000028
BJ SERVICES CO,20091123,0001193125-09-240380
BMB MUNAI INC,20090615,0001038838-09-000161
BMB MUNAI INC,20100624,0001038838-10-000223
BMB MUNAI INC,20110629,0001038838-11-000172
BMB MUNAI INC,20120625,0001038838-12-000169
BMB MUNAI INC,20130701,0001038838-13-000260
BOLT TECHNOLOGY CORP,20090903,0001144204-09-047112
BOLT TECHNOLOGY CORP,20100910,0001144204-10-048893
BOLT TECHNOLOGY CORP,20110913,0001144204-11-052788
BOLT TECHNOLOGY CORP,20120914,0001144204-12-051304
BOLT TECHNOLOGY CORP,20130913,0001144204-13-050613
"Bonanza Creek Energy, Inc.",20120322,0001047469-12-003080
"Bonanza Creek Energy, Inc.",20130315,0001047469-13-002777
"Bonanza Creek Energy, Inc.",20140228,0001047469-14-001539
BOOTS & COOTS INTERNATIONAL WELL CONTROL INC,20090312,0001140361-09-006772
"Boots & Coots, Inc.",20100303,0001140361-10-009770
"BPZ RESOURCES, INC.",20090302,0001104659-09-013236
"BPZ RESOURCES, INC.",20100331,0001104659-10-017466
"BPZ RESOURCES, INC.",20110316,0001104659-11-014875
"BPZ RESOURCES, INC.",20120314,0001104659-12-018171
"BPZ RESOURCES, INC.",20130315,0001437749-13-002962
"BPZ RESOURCES, INC.",20140312,0001437749-14-003934
BRIGHAM EXPLORATION CO,20090313,0001362310-09-003838
BRIGHAM EXPLORATION CO,20100301,0000950123-10-018462
BRIGHAM EXPLORATION CO,20110301,0000950123-11-020581
"Bronco Drilling Company, Inc.",20090316,0001328650-09-000008
"Bronco Drilling Company, Inc.",20100315,0001328650-10-000013
"Bronco Drilling Company, Inc.",20110315,0000950123-11-025607
"C&J Energy Services, Inc.",20120229,0001193125-12-089225
"C&J Energy Services, Inc.",20130228,0001193125-13-080488
"C&J Energy Services, Inc.",20140227,0001193125-14-070178
CABOT OIL & GAS CORP,20090227,0001193125-09-040956
CABOT OIL & GAS CORP,20100226,0001193125-10-042257
CABOT OIL & GAS CORP,20110228,0001193125-11-049690
CABOT OIL & GAS CORP,20120228,0001047469-12-001751
CABOT OIL & GAS CORP,20130228,0001047469-13-001948
CABOT OIL & GAS CORP,20140228,0001047469-14-001538
"Cal Dive International, Inc.",20090223,0001364100-09-000012
"Cal Dive International, Inc.",20100226,0001364100-10-000009
"Cal Dive International, Inc.",20110302,0001364100-11-000006
"Cal Dive International, Inc.",20120302,0001364100-12-000010
"Cal Dive International, Inc.",20130308,0001364100-13-000010
"Cal Dive International, Inc.",20140311,0001364100-14-000006
CALLON PETROLEUM CO,20090320,0000950134-09-005716
CALLON PETROLEUM CO,20100312,0000950123-10-024025
CALLON PETROLEUM CO,20110315,0000928022-11-000022
CALLON PETROLEUM CO,20120315,0000928022-12-000026
CALLON PETROLEUM CO,20130314,0000928022-13-000023
CALLON PETROLEUM CO,20140313,0000928022-14-000049
CAMAC Energy Inc.,20110311,0001354488-11-000790
CAMAC Energy Inc.,20120315,0001193125-12-117053
CAMAC Energy Inc.,20130415,0001354488-13-001983
CAMAC Energy Inc.,20140314,0001437749-14-004260
CAMERON INTERNATIONAL CORP,20090225,0000941548-09-000013
CAMERON INTERNATIONAL CORP,20100226,0000941548-10-000015
CAMERON INTERNATIONAL CORP,20110228,0000941548-11-000011
CAMERON INTERNATIONAL CORP,20120228,0000941548-12-000005
CAMERON INTERNATIONAL CORP,20130222,0000941548-13-000010
CAMERON INTERNATIONAL CORP,20140226,0001140361-14-009761
"CANO PETROLEUM, INC",20090928,0001047469-09-008587
"CANO PETROLEUM, INC",20100922,0001104659-10-049416
"CANO PETROLEUM, INC",20111020,0001104659-11-056993
CARRIZO OIL & GAS INC,20090313,0000950129-09-000865
CARRIZO OIL & GAS INC,20100316,0000950123-10-025265
CARRIZO OIL & GAS INC,20110331,0001193125-11-085103
CARRIZO OIL & GAS INC,20120229,0001193125-12-089501
CARRIZO OIL & GAS INC,20130228,0001040593-13-000015
CARRIZO OIL & GAS INC,20140303,0001040593-14-000022
CHESAPEAKE ENERGY CORP,20090302,0001193125-09-042739
CHESAPEAKE ENERGY CORP,20100301,0001193125-10-044784
CHESAPEAKE ENERGY CORP,20110301,0001193125-11-052349
CHESAPEAKE ENERGY CORP,20120229,0001193125-12-089591
CHESAPEAKE ENERGY CORP,20130301,0000895126-13-000076
CHESAPEAKE ENERGY CORP,20140227,0000895126-14-000104
CHEVRON CORP,20090226,0000891618-09-000054
CHEVRON CORP,20100225,0000950123-10-016846
CHEVRON CORP,20110224,0000950123-11-017688
CHEVRON CORP,20120223,0000950123-12-002976
CHEVRON CORP,20130222,0000093410-13-000003
CHEVRON CORP,20140221,0000093410-14-000011
CIMAREX ENERGY CO,20090227,0001047469-09-001974
CIMAREX ENERGY CO,20100226,0001047469-10-001512
CIMAREX ENERGY CO,20110225,0001047469-11-001364
CIMAREX ENERGY CO,20120222,0001047469-12-001276
CIMAREX ENERGY CO,20130226,0001047469-13-001692
CIMAREX ENERGY CO,20140226,0001047469-14-001366
CLAYTON WILLIAMS ENERGY INC /DE,20090316,0000880115-09-000004
CLAYTON WILLIAMS ENERGY INC /DE,20100312,0000880115-10-000004
CLAYTON WILLIAMS ENERGY INC /DE,20110301,0000880115-11-000003
CLAYTON WILLIAMS ENERGY INC /DE,20120305,0001104659-12-015678
CLAYTON WILLIAMS ENERGY INC /DE,20130305,0000880115-13-000008
CLAYTON WILLIAMS ENERGY INC /DE,20140311,0000880115-14-000008
CNX Gas CORP,20090217,0001193125-09-030540
CNX Gas Corp,20100209,0001193125-10-025517
"Cobalt International Energy, Inc.",20100330,0001047469-10-002985
"Cobalt International Energy, Inc.",20110301,0001047469-11-001613
"Cobalt International Energy, Inc.",20120221,0001047469-12-001183
"Cobalt International Energy, Inc.",20130226,0001047469-13-001687
"Cobalt International Energy, Inc.",20140227,0001047469-14-001453
"Complete Production Services, Inc.",20090227,0000950129-09-000675
"Complete Production Services, Inc.",20100219,0000950123-10-014650
"Complete Production Services, Inc.",20110222,0000950123-11-015858
COMSTOCK RESOURCES INC,20090225,0000950134-09-003729
COMSTOCK RESOURCES INC,20100226,0000950123-10-018130
COMSTOCK RESOURCES INC,20110222,0000950123-11-016458
COMSTOCK RESOURCES INC,20120227,0001193125-12-081407
COMSTOCK RESOURCES INC,20130228,0001193125-13-083473
COMSTOCK RESOURCES INC,20140227,0001564590-14-000379
CONCHO RESOURCES INC,20090227,0000950134-09-004052
CONCHO RESOURCES INC,20100226,0000950123-10-018158
CONCHO RESOURCES INC,20110225,0000950123-11-018697
CONCHO RESOURCES INC,20120224,0001193125-12-076937
CONCHO RESOURCES INC,20130222,0001358071-13-000006
CONCHO RESOURCES INC,20140221,0001358071-14-000005
CONOCOPHILLIPS,20090225,0001362310-09-002769
CONOCOPHILLIPS,20100225,0000950123-10-017187
CONOCOPHILLIPS,20110223,0000950123-11-016957
CONOCOPHILLIPS,20120221,0001193125-12-070636
CONOCOPHILLIPS,20130219,0001193125-13-065426
CONOCOPHILLIPS,20140225,0001193125-14-066358
CONTANGO OIL & GAS CO,20090911,0001193125-09-190601
CONTANGO OIL & GAS CO,20100913,0001193125-10-208966
CONTANGO OIL & GAS CO,20110829,0001193125-11-235620
CONTANGO OIL & GAS CO,20120829,0001445305-12-002782
CONTANGO OIL & GAS CO,20130829,0001071993-13-000011
CONTANGO OIL & GAS CO,20140303,0001071993-14-000005
CONTINENTAL RESOURCES INC,20090227,0001193125-09-040610
CONTINENTAL RESOURCES INC,20100226,0001193125-10-042474
CONTINENTAL RESOURCES INC,20110225,0001193125-11-046209
CONTINENTAL RESOURCES INC,20120224,0001193125-12-077054
"CONTINENTAL RESOURCES, INC",20130228,0001193125-13-080751
"CONTINENTAL RESOURCES, INC",20140227,0000732834-14-000003
CORE LABORATORIES N V,20090220,0001000229-09-000005
CORE LABORATORIES N V,20100219,0001000229-10-000004
CORE LABORATORIES N V,20110222,0001000229-11-000015
CORE LABORATORIES N V,20120215,0001000229-12-000012
CORE LABORATORIES N V,20130219,0001000229-13-000009
CORE LABORATORIES N V,20140213,0001000229-14-000025
CREDO PETROLEUM CORP,20090114,0001104659-09-002218
CREDO PETROLEUM CORP,20100107,0001104659-10-000725
CREDO PETROLEUM CORP,20110113,0001104659-11-001412
CREDO PETROLEUM CORP,20120117,0001104659-12-002282
CRIMSON EXPLORATION INC.,20090327,0000813779-09-000025
CRIMSON EXPLORATION INC.,20100316,0000813779-10-000010
CRIMSON EXPLORATION INC.,20110318,0001140361-11-017686
CRIMSON EXPLORATION INC.,20120313,0000813779-12-000011
CRIMSON EXPLORATION INC.,20130315,0000813779-13-000005
CROSSTEX ENERGY INC,20090302,0000950134-09-004252
CROSSTEX ENERGY INC,20100301,0000950123-10-018577
CROSSTEX ENERGY INC,20110225,0001047469-11-001357
CROSSTEX ENERGY INC,20120228,0001047469-12-001741
CROSSTEX ENERGY INC,20130301,0001047469-13-001998
CROSSTEX ENERGY INC,20140228,0001209821-14-000006
CVR ENERGY INC,20090313,0000950123-09-004595
CVR ENERGY INC,20100312,0000950123-10-024185
CVR ENERGY INC,20110307,0000950123-11-022741
CVR ENERGY INC,20120229,0001047469-12-001887
CVR ENERGY INC,20130314,0001047469-13-002747
CVR ENERGY INC,20140226,0001376139-14-000016
DAWSON GEOPHYSICAL CO,20091201,0000950123-09-067127
DAWSON GEOPHYSICAL CO,20101123,0000950123-10-108247
DAWSON GEOPHYSICAL CO,20111209,0001193125-11-336740
DAWSON GEOPHYSICAL CO,20121205,0001193125-12-491992
DAWSON GEOPHYSICAL CO,20131211,0001193125-13-469963
DELTA PETROLEUM CORP/CO,20090302,0001035704-09-000006
DELTA PETROLEUM CORP/CO,20100312,0000950123-10-023993
DELTA PETROLEUM CORP/CO,20110316,0000950123-11-026001
DELTA PETROLEUM CORP/CO,20120831,0001193125-12-377175
DENBURY RESOURCES INC,20090302,0000950134-09-004231
DENBURY RESOURCES INC,20100301,0000950123-10-019490
DENBURY RESOURCES INC,20110301,0000950123-11-020804
DENBURY RESOURCES INC,20120228,0000945764-12-000013
DENBURY RESOURCES INC,20130228,0000945764-13-000027
DENBURY RESOURCES INC,20140228,0000945764-14-000014
DEVON ENERGY CORP/DE,20090227,0000950134-09-003904
DEVON ENERGY CORP/DE,20100225,0000950123-10-017093
DEVON ENERGY CORP/DE,20110225,0000950123-11-018537
DEVON ENERGY CORP/DE,20120224,0001193125-12-077085
DEVON ENERGY CORP/DE,20130221,0001193125-13-068817
DEVON ENERGY CORP/DE,20140228,0001193125-14-076267
DIAMOND OFFSHORE DRILLING INC,20090224,0000950129-09-000536
DIAMOND OFFSHORE DRILLING INC,20100223,0000950123-10-015699
DIAMOND OFFSHORE DRILLING INC,20110225,0000950123-11-018663
DIAMOND OFFSHORE DRILLING INC,20120223,0001193125-12-075073
DIAMOND OFFSHORE DRILLING INC,20130221,0001193125-13-069201
DIAMOND OFFSHORE DRILLING INC,20140224,0001193125-14-064415
"Diamondback Energy, Inc.",20130301,0001539838-13-000004
"Diamondback Energy, Inc.",20140219,0001539838-14-000007
DOUBLE EAGLE PETROLEUM CO,20090312,0000950134-09-005104
DOUBLE EAGLE PETROLEUM CO,20100304,0000950123-10-020940
DOUBLE EAGLE PETROLEUM CO,20110308,0000950123-11-023039
DOUBLE EAGLE PETROLEUM CO,20120308,0001193125-12-103167
DOUBLE EAGLE PETROLEUM CO,20130314,0001193125-13-106879
DOUBLE EAGLE PETROLEUM CO,20140313,0001564590-14-000714
DRIL-QUIP INC,20090227,0001193125-09-039868
DRIL-QUIP INC,20100226,0001193125-10-041122
DRIL-QUIP INC,20110228,0001193125-11-047940
DRIL-QUIP INC,20120227,0001193125-12-078769
DRIL-QUIP INC,20130228,0001193125-13-081240
DRIL-QUIP INC,20140228,0001193125-14-073575
"Emerald Oil, Inc.",20130318,0001144204-13-015586
"Emerald Oil, Inc.",20140312,0001144204-14-015126
ENCORE ACQUISITION CO,20090224,0000950134-09-003596
ENCORE ACQUISITION CO,20100225,0000950123-10-016609
ENDEAVOUR INTERNATIONAL CORP,20090316,0001193125-09-054213
ENDEAVOUR INTERNATIONAL CORP,20100316,0000950123-10-025304
ENDEAVOUR INTERNATIONAL CORP,20110310,0000950123-11-023999
ENDEAVOUR INTERNATIONAL CORP,20120308,0001193125-12-101841
ENDEAVOUR INTERNATIONAL CORP,20130318,0001193125-13-112308
ENDEAVOUR INTERNATIONAL CORP,20140317,0001562762-14-000072
ENERGEN CORP,20090225,0001193125-09-037514
ENERGEN CORP,20100225,0001193125-10-040857
ENERGEN CORP,20110225,0001193125-11-047619
ENERGEN CORP,20120227,0000277595-12-000007
ENERGEN CORP,20130228,0000277595-13-000012
ENERGY PARTNERS LTD,20090805,0001193125-09-164108
ENERGY PARTNERS LTD,20100311,0001193125-10-053691
ENERGY PARTNERS LTD,20110303,0001193125-11-054871
ENERGY PARTNERS LTD,20120308,0001193125-12-104001
ENERGY XXI (BERMUDA) LTD,20090904,0001144204-09-047141
ENERGY XXI (BERMUDA) LTD,20100908,0001144204-10-048480
ENERGY XXI (BERMUDA) LTD,20110815,0001144204-11-046334
ENERGY XXI (BERMUDA) LTD,20120809,0001144204-12-043943
ENERGY XXI (BERMUDA) LTD,20130821,0001144204-13-047221
ENSCO INTERNATIONAL INC,20090226,0000314808-09-000015
Ensco International plc,20100225,0000314808-10-000019
Ensco plc,20110224,0000314808-11-000016
Ensco plc,20120224,0000314808-12-000020
Ensco plc,20130222,0000314808-13-000019
Ensco plc,20140226,0000314808-14-000026
EOG RESOURCES INC,20090225,0000821189-09-000008
