ID,Name,Url,Office,Fonction,Direction
1,Jean-Claude Juncker,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2,President,Commissioner,
2,Frans Timmermans,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f,Better Regulation,Commissioner,
3,Federica Mogherini,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=6e27e5b2-65cf-4733-99b1-0a5e094088c1,External Action,Commissioner,
4,Kristalina Georgieva,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=5270d9e0-5945-4d88-99c0-5dfc4757503e,Budget,Commissioner,
5,Andrus Ansip,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=57870d0f-2fb5-4f5b-9bea-7f2a661c64ac,Digital Single Market,Commissioner,
6,Maroš Šefčovič,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=a7c58a45-8006-46df-9f12-b80ff5b34a1f,Energy Union,Commissioner,
7,Vladis Dombrovskis,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=12405586-0ba8-4a54-94ae-12e8daeb7b26,Euro & Social Dialogue,Commissioner,
8,Jyrki Katainen,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=d4efd679-b6bf-4ef8-a077-a041991378c7,"Jobs, Growth, Investment and Competitiveness",Commissioner,
9,Günther H. Oettinger,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=f24e4f06-d181-4f58-9604-3aaf3ce391ea,Digital Economy,Commissioner,
10,Johannes Hahn,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=92703759-b346-49b5-83ac-edf2bbe01d2f,Neighbourhood,Commissioner,
11,Cecilia Malmström,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=fdf6c08d-54d1-4524-aa70-1287c34ceb4d,Trade,Commissioner,
12,Neven  Mimica,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=682fd8b6-7fce-4fba-91af-525e4a9cbf52,Development,Commissioner,
13,Miguel Arias Cañete,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=523060f7-97c6-480b-8bb9-30bb409e650e,Climate & Energy,Commissioner,
14,Karmenu Vella,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=f92a74d6-757c-46fd-8042-2564cc3d763f,Environment,Commissioner,
15,Vytenis Andriukaitis,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=a980459e-c697-49b1-9713-5c5034a26cdc,Health,Commissioner,
16,Dimitris Avramopoulos,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=1b4b07a3-f945-456c-a005-6546de4bf468,Home Affairs,Commissioner,
17,Marianne Thyssen,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=3aaa2b0d-1706-495f-9c93-7f939888afb2,Employment,Commissioner,
18,Pierre Moscovici,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=af65fb60-5ba8-4af1-87ae-edab5dac6afa,Economics and Tax,Commissioner,
19,Christos Stylianides,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=7a3ad6a0-2fdd-4656-8462-85f57d9a8c54,Humanitarian Aid,Commissioner,
20,Phil Hogan,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=55ddae5a-33fa-40b4-87b4-8815e503dc26,Agriculture,Commissioner,
21,Jonathan Hill,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=ebb93164-c494-436e-b965-e367adbcae32,Financial Markets,Commissioner,
22,Violeta Bulc,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=8d390599-609a-4464-b941-6815b1228b44,Transport,Commissioner,
23,Elżbieta Bieńkowska,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=e8354e80-dd05-4cb8-ba46-0dbb02ee2d88,Internal Market,Commissioner,
24,Věra Jourová,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=cc463fab-bfff-4595-bb45-6d0af96b5e83,Justice,Commissioner,
25,Tibor Navracsics  ,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=bba8a7ac-cad1-4ac5-815a-1abdff5f51b1,Education,Commissioner,
26,Corina Creţu,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=aa125a9c-d202-490d-865e-758d5df2f01d,Regional Policy,Commissioner,
27,Margrethe Vestager,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=46942686-5de0-426c-9d77-decc4e003a84,Competition,Commissioner,
28,Carlos Moedas,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=375218b1-5b9b-4f1f-8701-cda656622c9a,Research,Commissioner,
29,Jean-Claude Juncker,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=91b45ce8-2ff0-4e67-b5b5-b42151217f13,President,Commissioner's Cabinet,
30,Frans Timmermans,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=f3715246-e6ff-4856-b9d8-1ed4f86738b7,Better Regulation,Commissioner's Cabinet,
31,Federica Mogherini,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b6c0bf49-dbd0-4884-af38-d0da75bc6395,External Action,Commissioner's Cabinet,
32,Kristalina Georgieva,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=bd40b1da-482e-472a-8d00-fcb21ed47880,Budget,Commissioner's Cabinet,
33,Andrus Ansip,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=cd3770a0-4fb5-4e79-a343-072b167456b3,Digital Single Market,Commissioner's Cabinet,
34,Maroš Šefčovič,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=dea9b479-804b-4eb7-92cd-f0ebc6a445d1,Energy Union,Commissioner's Cabinet,
35,Vladis Dombrovskis,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=e6418b8f-9cc0-44ab-9818-a40997dea82e,Euro & Social Dialogue,Commissioner's Cabinet,
36,Jyrki Katainen,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=11408bf9-1c96-46d1-803f-5852821362dd,"Jobs, Growth, Investment and Competitiveness",Commissioner's Cabinet,
37,Günther H. Oettinger,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=595cf53f-c018-4fc8-afa0-9d66c289795c,Digital Economy,Commissioner's Cabinet,
38,Johannes Hahn,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=dee51db7-bb13-4d5e-a753-43f58a567da2,Neighbourhood,Commissioner's Cabinet,
39,Cecilia Malmström,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=61aa8586-2b0d-4394-b196-30c13f1fa663,Trade,Commissioner's Cabinet,
40,Neven  Mimica,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b63071fc-cabe-4ca8-ae34-a28182ee77e9,Development,Commissioner's Cabinet,
41,Miguel Arias Cañete,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=9778d998-6aed-40e3-a1d6-614db81c7918,Climate & Energy,Commissioner's Cabinet,
42,Karmenu Vella,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=0fbb66b7-d3ed-44b7-9ddc-6fcc02880a75,Environment,Commissioner's Cabinet,
43,Vytenis Andriukaitis,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=e59c4da1-3434-4ddf-aa47-ade4c7dd0396,Health,Commissioner's Cabinet,
44,Dimitris Avramopoulos,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=e2d6f6f8-a020-4a91-b127-37f543c30e5b,Home Affairs,Commissioner's Cabinet,
45,Marianne Thyssen,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=0cbf10a4-0ceb-4eee-a8ff-cb4a7d0c12d1,Employment,Commissioner's Cabinet,
46,Pierre Moscovici,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=f033c462-1999-46a6-bc20-41681b6ee898,Economics and Tax,Commissioner's Cabinet,
47,Christos Stylianides,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=c8069fd5-5ab9-4ecb-ae1f-7e4961724890,Humanitarian Aid,Commissioner's Cabinet,
48,Phil Hogan,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=93d7d7cd-b3d3-4b15-9d6c-e260103bde3a,Agriculture,Commissioner's Cabinet,
49,Jonathan Hill,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=8f89f28d-f775-4807-b9d0-606199b7855b,Financial Markets,Commissioner's Cabinet,
50,Violeta Bulc,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=6c292f99-8c7f-4d91-a8ff-6aeef35a9375,Transport,Commissioner's Cabinet,
51,Elżbieta Bieńkowska,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=85ded49b-f5bb-486e-9404-b864a34d8340,Internal Market,Commissioner's Cabinet,
52,Věra Jourová,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=2bca07c7-d7fa-4e18-9d9d-104e3af20e2f,Justice,Commissioner's Cabinet,
53,Tibor Navracsics  ,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=52964d39-1350-42fa-94ec-8a58d5fa86b2,Education,Commissioner's Cabinet,
54,Corina Creţu,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b1991508-f1ca-473a-b633-4b308b341a92,Regional Policy,Commissioner's Cabinet,
55,Margrethe Vestager,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=74d81d51-18b9-4a85-8983-b26b42f4efe5,Competition,Commissioner's Cabinet,
56,Carlos Moedas,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=39401b95-74dc-4360-8ce2-aca281bc05c1,Research,Commissioner's Cabinet,
57,Catherine Day,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=394df231-6f63-43a1-ac2f-a5c6c2aea0b7,President,Director-General,Secretariat-General
58,Luis Romero Requena,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=09ed44d4-9995-496b-b508-61f84006ff93,President,Director-General,Legal Service
59,Timo Pesonen,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=2aac00d9-fbaf-425f-af65-c697a37d51bb,President,Director-General,Communication
60,Ann Mettler,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=0d0d638f-322e-44fc-8c9c-875438c4a719,President,Director-General,European Political Strategy Centre
61,Tung-Lai Margue,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=3bb86a7d-035a-4a39-8226-c46622754eb2,External Action,Director-General,Service for Foreign Policy Instruments
62,Nadia Calviño,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=1eefac79-31f7-41ef-b1f0-3d1270ce33a9,Budget,Director-General,Budget
63,Rytis Martikonis,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=0fbdad0a-4342-4091-b766-91b393b97617,Budget,Director-General,Translation
64,Irene Souka,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=5f6cf615-e3f3-495a-846a-9ccc191e86fc,Budget,Director-General,Human Resources and Security
65,Carlos Alegria,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=df6d8307-5772-45fb-a234-be95f3186c1f,Budget,Director-General,Interpretation
66,Giovanni Kessler,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=e1df1b18-cb0f-47e6-bd6b-9643b9eb5c5c,Budget,Director-General,European Anti-Fraud Office (OLAF)
67,Marc Lemaitre,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=c9dd58ff-4f2e-4e64-83c0-0ef45573239d,Budget,Director-General,Office For Administration And Payment Of Individual Entitlements (PMO)
68,Marc Mouligneau,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=a8793855-8d00-4dbe-8df4-5a368e3aa86e,Budget,Director-General,Infrastructures and Logistics – Brussels (OIB)
69,Marian O’Leary,http://ec.europa.eu/oil/transparency.html,Budget,Director-General,Infrastructures and Logistics – Luxembourg (OIL)
70,Nicholas David Bearfield,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=34cd9679-7e50-4f41-910a-7b9caf0beba4,Budget,Director-General,European Personnel Selection Office
71,David Ringrose,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=aae7124c-b839-4139-9ffe-ad5660fe9404,Digital Economy,Director-General,"Communications Networks, Content and Technology"
72,Stephen Quest,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=06fb3b80-76a8-43f1-b1a5-e703cfe8d625,Digital Economy,Director-General,Informatics
73,Christian Danielsson,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=e780754a-50f5-41fe-b42f-8ffe6165ad35,Neighbourhood,Director-General,Neighbourhood and Enlargement Negotiations
74,Jean-Luc Demarty,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=5f4689e0-014c-4bec-8125-f9e6d3592c86,Trade,Director-General,Trade
75,Fernando Frutuoso De Melo,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=19bd5d17-a3ef-4a2b-899c-28126a38b0c2,Development,Director-General,International Cooperation and Development
76,Jos Delbeke,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=d41e42be-7ff1-4635-bb4f-e47d38f886ed,Climate & Energy,Director-General,Climate Action
77,Dominique Ristori,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f,Climate & Energy,Director-General,Energy
78,Karl-Friedrich Falkenberg,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=ca175ad3-c2c5-457e-8f6d-f17956bdcc4e,Environment,Director-General,Environment
79,Lowri Evans,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=0bdcfdaf-b25f-4fa4-9843-6d8aff622df9,Environment,Director-General,Maritime Affairs and Fisheries
80,Ladislav Miko,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=357c8eea-da5c-49bc-9d63-a5c1b76c770e,Health,Director-General,Health and Food Safety
81,Matthias Ruete,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=4a2b905b-d91f-421a-870a-3f9387018669,Home Affairs,Director-General,Migration and Home Affairs
82,Michel Servoz,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=6c877f62-58d1-4645-aa27-bbbc7b872de3,Employment,Director-General,"Employment, Social Affairs and Inclusion"
83,Walter Radermacher,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b85b3c8d-483b-4e3d-b066-160c467e2884,Employment,Director-General,Eurostat
84,Heinz Zourek,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=8d411331-1f9c-49ad-bf3f-54c9723c5496,Economics & Tax,Director-General,Taxation and Customs Union
85,Marco Buti,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=e2ac53f7-cf9c-4aa7-a7fd-06a355c8b361,Economics & Tax,Director-General,Economic and Financial Affairs
86,Claus Sørensen,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=51cc23ae-3362-48ae-acee-c9843ae54827,Humanitarian Aid,Director-General,Humanitarian Aid and Civil Protection
87,Jerzy Plewa,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=e5538979-4674-413c-9912-75853e91bdc5,Agriculture,Director-General,Agriculture and Rural Development
88,Jonathan Faull,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=1451b45a-b39b-48ee-a50a-00a440ef2f09,Financial Markets,Director-General,"Financial Stability, Financial Services and Capital Markets Union"
89,João Aguiar Machado,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=ed82401c-d412-44bd-bdbc-3d0c5d051337,Transport,Director-General,Mobility and Transport
90,Daniel Calleja Crespo,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=66b9a93e-bac3-4820-8f21-9576b54e3428,Internal Market,Director-General,"Internal Market, Industry, Entrepreneurship and SMEs"
91,Paraskevi Michou,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b7f75e74-dd34-4911-8942-3b84e241424d,Justice,Director-General,Justice and Consumers
92,Xavier Prats Monné,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=9bd9f7c0-836e-4ff6-abf4-a1f8650861cb,Education,Director-General,Education and Culture
93,Vladimír Šucha,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=30674a4b-0bbe-4243-9500-704f334ced64,Education,Director-General,Joint Research Centre
94,Walter Deffaa,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=836198d9-3839-4b03-861c-7d7b2dc923bf,Regional Policy,Director-General,Regional Policy
95,Alexander Italianer,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=ffdb1b81-84a9-4ce1-8974-164aa26ce7e8,Competition,Director-General,Competition
96,Robert-Jan Smits,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=9c8a817a-8b63-494f-b8aa-7f1d9a3d4aa7,Research,Director-General,Research and Innovation
97,Philippe Taverne,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=35e322b6-e216-42e2-9b87-b21c41ac0d2a,Better Regulation,Director-General,Internal Audit Service (IAS)
98,Martine Reicherts,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=5c328854-7554-4e37-8142-02605dd76334,Education,Director-General,Publications Office (OP)
